"","age","rate","value"
"1","35_to_39",84.3,1603
"2","30_to_34",77.6,1501
"3","65_to_69",220.1,2978
"4","20_to_24",34.3,545
"5","70_to_74",265,3525
"6","85_to_89",980.8,3441
"7","50_to_54",167.2,3076
"8","75_to_79",440.5,3968
"9","90+",1309.6,2177
"10","40_to_44",107.4,1986
"11","0_to_4",14.6,248
"12","10_to_14",6,108
"13","25_to_29",70.5,1264
"14","80_to_84",672.6,4274
"15","5_to_9",4.5,82
"16","55_to_59",171.5,3304
"17","15_to_19",10.8,185
"18","60_to_64",206.8,3159
"19","45_to_49",150.9,2566
