"","age","rate","value"
"1","10_to_14",39.8,721
"2","50_to_54",431,7928
"3","70_to_74",497.8,6622
"4","5_to_9",35.1,635
"5","30_to_34",304.4,5885
"6","55_to_59",412.5,7948
"7","80_to_84",1368,8693
"8","15_to_19",71.9,1236
"9","45_to_49",412.5,7014
"10","60_to_64",455.6,6958
"11","85_to_89",2197.2,7709
"12","25_to_29",297.4,5332
"13","0_to_4",33.7,570
"14","90+",3370.5,5603
"15","75_to_79",834,7512
"16","35_to_39",292.7,5562
"17","20_to_24",196.9,3126
"18","65_to_69",429.2,5806
"19","40_to_44",315.9,5842
