"","age","rate","value"
"1","25_to_29",9992.6,169389
"2","55_to_59",6223.4,123257
"3","75_to_79",3389.9,35254
"4","5_to_9",1979.6,36841
"5","35_to_39",7872.7,150164
"6","80_to_84",4653.2,37433
"7","85_to_89",7251.6,38356
"8","20_to_24",11040.8,165889
"9","65_to_69",3369,48646
"10","0_to_4",2062.6,33134
"11","45_to_49",8076.3,138436
"12","40_to_44",7378,139041
"13","15_to_19",7338.8,119974
"14","30_to_34",8749.2,163460
"15","60_to_64",5305.9,84077
"16","90+",12198.1,42820
"17","70_to_74",2798.8,40559
"18","50_to_54",7604.5,142699
"19","10_to_14",3594.4,62029
