"","age","rate","value"
"1","65_to_69",440.6,5960
"2","40_to_44",331.9,6137
"3","25_to_29",316.8,5679
"4","35_to_39",311,5910
"5","20_to_24",215.1,3415
"6","55_to_59",426.5,8218
"7","45_to_49",429.9,7309
"8","90+",3422.3,5689
"9","10_to_14",46.6,845
"10","80_to_84",1394.1,8859
"11","30_to_34",326.8,6318
"12","70_to_74",508.7,6766
"13","50_to_54",445.8,8200
"14","85_to_89",2231.2,7828
"15","0_to_4",38.6,654
"16","75_to_79",847.2,7631
"17","5_to_9",40.2,728
"18","60_to_64",468.9,7161
"19","15_to_19",81.5,1401
