"","age","rate","value"
"1","45_to_49",377.4,6417
"2","50_to_54",399.9,7355
"3","40_to_44",283.9,5250
"4","15_to_19",56.2,966
"5","35_to_39",257.6,4895
"6","20_to_24",163.9,2602
"7","85_to_89",2073.5,7275
"8","30_to_34",267.1,5163
"9","90+",3180.5,5287
"10","70_to_74",470.2,6254
"11","65_to_69",401.6,5433
"12","60_to_64",425.7,6502
"13","55_to_59",381.7,7356
"14","75_to_79",787.7,7095
"15","25_to_29",259.1,4645
"16","0_to_4",26.2,444
"17","10_to_14",29,526
"18","80_to_84",1285.8,8171
"19","5_to_9",26.7,484
