age,rate,value
0_to_4,1062.6,900
5_to_9,963.5,1020
10_to_14,1716.4,1617
15_to_19,3621.9,3358
20_to_24,5072.8,4530
25_to_29,3634.5,3865
30_to_34,3411.8,3635
35_to_39,3373.9,3248
40_to_44,3368.2,3079
45_to_49,4083.1,3416
50_to_54,3664.7,3554
55_to_59,3246.3,3483
60_to_64,2649.6,2488
65_to_69,1912.7,1694
70_to_74,1820.3,1577
75_to_79,2539.4,1511
80_to_84,3385.3,1344
85_to_89,4655.1,996
90+,7192.2,697
