"","age","rate","value"
"1","20_to_24",309.4,4912
"2","5_to_9",62.2,1125
"3","35_to_39",383.3,7284
"4","40_to_44",395.4,7312
"5","90+",3518.5,5849
"6","85_to_89",2289.9,8034
"7","0_to_4",64.3,1088
"8","45_to_49",487.4,8287
"9","30_to_34",402.5,7780
"10","55_to_59",467.2,9002
"11","60_to_64",509.1,7775
"12","80_to_84",1436.9,9131
"13","70_to_74",533.9,7102
"14","25_to_29",399.6,7164
"15","75_to_79",876.8,7897
"16","65_to_69",476.9,6451
"17","15_to_19",132.8,2283
"18","50_to_54",494.8,9101
"19","10_to_14",70.7,1282
