age,rate,value
0_to_4,1270.4,1076
5_to_9,1170.3,1239
10_to_14,1982.8,1868
15_to_19,4056.6,3761
20_to_24,5781.6,5163
25_to_29,4191.2,4457
30_to_34,3957.1,4216
35_to_39,3989.9,3841
40_to_44,3907.5,3572
45_to_49,4713,3943
50_to_54,4234.9,4107
55_to_59,3756.1,4030
60_to_64,3071.4,2884
65_to_69,2197.3,1946
70_to_74,2063.8,1788
75_to_79,2747.8,1635
80_to_84,3617,1436
85_to_89,4870.1,1042
90+,7491.5,726
