age,rate,value
0_to_4,2162.2,1748
5_to_9,1656.6,1849
10_to_14,3062.2,2743
15_to_19,7618.1,6712
20_to_24,11931.7,9913
25_to_29,9955.3,9563
30_to_34,8756.6,8907
35_to_39,8477.9,8197
40_to_44,8102.2,7576
45_to_49,9693.3,8326
50_to_54,8816.6,9001
55_to_59,7143.9,8086
60_to_64,5673.4,5614
65_to_69,3386.5,3169
70_to_74,3009.2,2788
75_to_79,3736.5,2514
80_to_84,5186.9,2597
85_to_89,7788.9,2530
90+,12773.1,2660
