"","age","rate","value"
"1","20_to_24",285.9,4296
"2","0_to_4",18.7,300
"3","80_to_84",814.5,6552
"4","10_to_14",16.2,280
"5","15_to_19",66.5,1087
"6","70_to_74",259.3,3757
"7","5_to_9",10.9,203
"8","35_to_39",324.8,6195
"9","40_to_44",349.8,6593
"10","55_to_59",398,7882
"11","90+",2325.7,8164
"12","85_to_89",1412.5,7471
"13","25_to_29",429.9,7288
"14","75_to_79",463.2,4817
"15","45_to_49",461.3,7908
"16","65_to_69",227.2,3280
"17","30_to_34",374.9,7005
"18","50_to_54",466.5,8754
"19","60_to_64",344.7,5462
