age,rate,value
0_to_4,1753.3,1485
5_to_9,1551,1642
10_to_14,2508.3,2363
15_to_19,4946.4,4586
20_to_24,7484.9,6684
25_to_29,5728.6,6092
30_to_34,5442.9,5799
35_to_39,5424.5,5222
40_to_44,5323,4866
45_to_49,6301.5,5272
50_to_54,5792.9,5618
55_to_59,5038.6,5406
60_to_64,4233.2,3975
65_to_69,3011.4,2667
70_to_74,2778.3,2407
75_to_79,3453.7,2055
80_to_84,4488.6,1782
85_to_89,5800.1,1241
90+,9018.7,874
