"","age","rate","value"
"1","10_to_14",81.2,1402
"2","40_to_44",584.6,11017
"3","35_to_39",567.3,10821
"4","30_to_34",667.7,12474
"5","50_to_54",716.5,13446
"6","5_to_9",64.7,1204
"7","45_to_49",726,12444
"8","55_to_59",604.9,11980
"9","0_to_4",70.2,1127
"10","15_to_19",235.3,3846
"11","85_to_89",2037.9,10779
"12","65_to_69",344.5,4975
"13","70_to_74",369.5,5354
"14","60_to_64",527.6,8360
"15","20_to_24",664.8,9989
"16","80_to_84",1139.8,9169
"17","90+",3469.7,12180
"18","75_to_79",642.6,6683
"19","25_to_29",795.7,13488
