age,value,rate
0_to_4,528,653.1
5_to_9,505,452.5
10_to_14,819,914.3
15_to_19,3253,3692.1
20_to_24,4108,4944.6
25_to_29,3631,3780
30_to_34,3297,3241.3
35_to_39,3067,3172.1
40_to_44,3018,3227.6
45_to_49,3354,3904.8
50_to_54,3669,3593.8
55_to_59,3261,2881
60_to_64,2068,2089.9
65_to_69,1100,1175.5
70_to_74,1013,1093.4
75_to_79,1017,1511.5
80_to_84,1118,2233
85_to_89,1166,3589.7
90+,1274,6117.6
