age,rate,value
0_to_4,2400.9,1941
5_to_9,1796.4,2005
10_to_14,3304.5,2960
15_to_19,8060.7,7102
20_to_24,12751.4,10594
25_to_29,10663.2,10243
30_to_34,9430.1,9592
35_to_39,9076.7,8776
40_to_44,8620.9,8061
45_to_49,10289.4,8838
50_to_54,9388.6,9585
55_to_59,7623.6,8629
60_to_64,6062.5,5999
65_to_69,3656.8,3422
70_to_74,3242.3,3004
75_to_79,4042.6,2720
80_to_84,5630.3,2819
85_to_89,8518.6,2767
90+,14055.2,2927
