"","age","rate","value"
"1","60_to_64",145.3,2303
"2","45_to_49",173.2,2968
"3","40_to_44",127,2394
"4","10_to_14",5.9,101
"5","15_to_19",15.8,259
"6","90+",841.2,2953
"7","70_to_74",155.9,2259
"8","30_to_34",138.5,2587
"9","0_to_4",11.6,186
"10","35_to_39",116.3,2218
"11","85_to_89",629.4,3329
"12","80_to_84",406.9,3273
"13","75_to_79",260.6,2710
"14","20_to_24",74.7,1122
"15","25_to_29",147.8,2506
"16","65_to_69",123.6,1784
"17","55_to_59",149.9,2968
"18","50_to_54",174.6,3276
"19","5_to_9",3.9,72
