age,value,rate
0_to_4,431,508.9
5_to_9,400,377.8
10_to_14,665,705.9
15_to_19,2169,2339.5
20_to_24,2795,3129.9
25_to_29,2167,2037.7
30_to_34,2006,1882.8
35_to_39,1798,1867.7
40_to_44,1719,1880.4
45_to_49,1910,2283
50_to_54,1995,2057.1
55_to_59,2069,1928.4
60_to_64,1376,1465.4
65_to_69,933,1053.5
70_to_74,923,1065.4
75_to_79,938,1576.4
80_to_84,826,2080.6
85_to_89,652,3047.3
90+,469,4839.5
