age,value,rate
0_to_4,336,415.6
5_to_9,317,284
10_to_14,470,524.7
15_to_19,2550,2894.2
20_to_24,3028,3644.6
25_to_29,2530,2633.8
30_to_34,2284,2245.4
35_to_39,2215,2290.9
40_to_44,2155,2304.7
45_to_49,2461,2865.2
50_to_54,2676,2621.2
55_to_59,2405,2124.8
60_to_64,1494,1509.8
65_to_69,800,854.9
70_to_74,710,766.3
75_to_79,740,1099.8
80_to_84,824,1645.8
85_to_89,873,2687.6
90+,960,4609.8
