"","age","rate","value"
"1","40_to_44",475.7,8965
"2","55_to_59",528.8,10474
"3","75_to_79",594.9,6187
"4","85_to_89",1909.7,10101
"5","90+",3250.4,11410
"6","60_to_64",454.6,7203
"7","80_to_84",1066.6,8580
"8","10_to_14",40.5,699
"9","45_to_49",612,10491
"10","65_to_69",294.7,4256
"11","35_to_39",450,8583
"12","0_to_4",29.6,475
"13","15_to_19",123.2,2014
"14","30_to_34",522.5,9762
"15","25_to_29",607,10290
"16","5_to_9",31.2,581
"17","20_to_24",449.3,6751
"18","70_to_74",332.2,4814
"19","50_to_54",616.7,11573
