"","age","value","rate"
"1","70_to_74",4680,322.9
"2","35_to_39",8230,431.5
"3","10_to_14",611,35.4
"4","25_to_29",9905,584.3
"5","55_to_59",10203,515.2
"6","40_to_44",8656,459.3
"7","50_to_54",11260,600
"8","0_to_4",413,25.7
"9","45_to_49",10159,592.7
"10","15_to_19",1858,113.7
"11","85_to_89",9874,1866.8
"12","5_to_9",511,27.5
"13","80_to_84",8414,1045.9
"14","75_to_79",6044,581.2
"15","30_to_34",9385,502.3
"16","90+",11183,3185.7
"17","60_to_64",6993,441.3
"18","65_to_69",4128,285.9
"19","20_to_24",6435,428.3
