age,rate,value
0_to_4,1890.1,1528
5_to_9,1458.6,1628
10_to_14,2732.9,2448
15_to_19,6899.6,6079
20_to_24,10541.5,8758
25_to_29,8712.4,8369
30_to_34,7712.6,7845
35_to_39,7481.9,7234
40_to_44,7237,6767
45_to_49,8583.8,7373
50_to_54,7820.4,7984
55_to_59,6275.4,7103
60_to_64,4986.2,4934
65_to_69,2941.9,2753
70_to_74,2645.4,2451
75_to_79,3216.3,2164
80_to_84,4444,2225
85_to_89,6557.5,2130
90+,10564.2,2200
