"","age","rate","value"
"1","85_to_89",2015,10658
"2","50_to_54",689,12929
"3","20_to_24",583.4,8766
"4","70_to_74",361.4,5237
"5","75_to_79",633.3,6586
"6","15_to_19",190.4,3113
"7","40_to_44",555.9,10476
"8","30_to_34",621.9,11619
"9","55_to_59",586.3,11612
"10","80_to_84",1128.5,9078
"11","0_to_4",58,932
"12","35_to_39",533.9,10184
"13","65_to_69",333,4808
"14","10_to_14",69.8,1205
"15","45_to_49",696.6,11941
"16","25_to_29",727.7,12336
"17","60_to_64",507.1,8035
"18","90+",3427.3,12031
"19","5_to_9",56.2,1045
