"","age","rate","value"
"1","5_to_9",29.2,544
"2","35_to_39",439.3,8379
"3","40_to_44",465.3,8768
"4","30_to_34",510.7,9541
"5","25_to_29",593.6,10062
"6","90+",3215.3,11287
"7","20_to_24",436.7,6561
"8","70_to_74",326.3,4728
"9","45_to_49",600.1,10286
"10","0_to_4",27.4,440
"11","85_to_89",1883.6,9963
"12","60_to_64",447.9,7098
"13","10_to_14",37.3,644
"14","15_to_19",117.1,1914
"15","50_to_54",606.7,11385
"16","65_to_69",289.1,4174
"17","75_to_79",586.4,6098
"18","55_to_59",519.7,10293
"19","80_to_84",1052.8,8469
