"","age","rate","value"
"1","55_to_59",6259.1,120609
"2","65_to_69",4231.4,57242
"3","70_to_74",3546.4,47173
"4","90+",12033.6,20004
"5","80_to_84",5422.6,34458
"6","45_to_49",7639.1,129879
"7","10_to_14",3700.1,67064
"8","60_to_64",5906.9,90213
"9","30_to_34",7949,153664
"10","85_to_89",8060.4,28280
"11","50_to_54",7283.5,133965
"12","0_to_4",2354.7,39870
"13","75_to_79",4219.3,38004
"14","35_to_39",7463.7,141851
"15","5_to_9",2428.9,43954
"16","15_to_19",6204.2,106678
"17","20_to_24",9206.8,146178
"18","40_to_44",7049.5,130353
"19","25_to_29",8592.7,154043
