"","age","rate","value"
"1","90+",12150.9,20199
"2","20_to_24",9328.7,148114
"3","75_to_79",4256.6,38340
"4","65_to_69",4277.1,57860
"5","80_to_84",5470.4,34762
"6","15_to_19",6301.4,108350
"7","25_to_29",8725.3,156420
"8","50_to_54",7391.3,135947
"9","35_to_39",7592.3,144295
"10","85_to_89",8139.1,28556
"11","5_to_9",2480.6,44889
"12","45_to_49",7748.6,131741
"13","10_to_14",3778.1,68477
"14","70_to_74",3580,47619
"15","0_to_4",2407.5,40764
"16","40_to_44",7166.4,132514
"17","30_to_34",8088.2,156354
"18","60_to_64",5985.6,91415
"19","55_to_59",6345,122263
