"","age","rate","value"
"1","15_to_19",84,1444
"2","65_to_69",443.9,6005
"3","10_to_14",48.4,877
"4","5_to_9",41.6,753
"5","80_to_84",1399.2,8891
"6","90+",3434.3,5709
"7","55_to_59",429,8267
"8","25_to_29",321.2,5759
"9","35_to_39",316.6,6018
"10","20_to_24",219.9,3491
"11","40_to_44",336.1,6214
"12","85_to_89",2238.3,7853
"13","60_to_64",471.1,7195
"14","0_to_4",40.5,685
"15","70_to_74",510.8,6794
"16","50_to_54",449,8258
"17","75_to_79",850,7656
"18","30_to_34",332.5,6428
"19","45_to_49",433.8,7376
