"","age","rate","value"
"1","45_to_49",1846.6,31652
"2","65_to_69",805,11623
"3","30_to_34",1884.5,35208
"4","85_to_89",2632.3,13923
"5","75_to_79",1026.2,10672
"6","5_to_9",300.3,5588
"7","90+",4380.7,15378
"8","70_to_74",722.7,10473
"9","25_to_29",2260,38311
"10","80_to_84",1580.1,12711
"11","50_to_54",1792.6,33639
"12","35_to_39",1633.8,31163
"13","0_to_4",369.3,5933
"14","55_to_59",1475.7,29227
"15","15_to_19",2505,40952
"16","10_to_14",567.9,9800
"17","60_to_64",1245.7,19740
"18","40_to_44",1573.8,29658
"19","20_to_24",3043,45722
