"","age","rate","value"
"1","75_to_79",2036.8,21182
"2","85_to_89",4612.3,24396
"3","40_to_44",4165,78491
"4","5_to_9",1128.3,20998
"5","20_to_24",6426,96551
"6","65_to_69",1881.4,27167
"7","15_to_19",4927.7,80558
"8","45_to_49",4631.8,79394
"9","90+",7615.7,26734
"10","30_to_34",4791.1,89512
"11","60_to_64",2921.7,46297
"12","35_to_39",4353.6,83040
"13","80_to_84",2901,23337
"14","10_to_14",2295.1,39607
"15","55_to_59",3460.1,68529
"16","70_to_74",1605.4,23265
"17","25_to_29",5515.2,93490
"18","0_to_4",1099.8,17667
"19","50_to_54",4271.6,80158
