"","age","rate","value"
"1","0_to_4",36,609
"2","65_to_69",434.6,5879
"3","15_to_19",76,1307
"4","25_to_29",307.1,5506
"5","35_to_39",301.2,5724
"6","90+",3397,5647
"7","85_to_89",2210.6,7756
"8","80_to_84",1382.5,8785
"9","75_to_79",840.7,7572
"10","20_to_24",205.6,3265
"11","5_to_9",36.9,668
"12","50_to_54",438.5,8066
"13","10_to_14",43.8,793
"14","40_to_44",323.7,5986
"15","30_to_34",314.5,6079
"16","55_to_59",419.6,8086
"17","60_to_64",461.8,7053
"18","70_to_74",503.3,6695
"19","45_to_49",419.8,7138
