"","age","rate","value"
"1","25_to_29",723.4,12263
"2","40_to_44",553,10421
"3","55_to_59",583.8,11562
"4","75_to_79",631.7,6570
"5","50_to_54",687.1,12893
"6","0_to_4",57.1,918
"7","60_to_64",505.7,8013
"8","85_to_89",2013.3,10649
"9","65_to_69",332.4,4799
"10","15_to_19",187.9,3071
"11","70_to_74",360.5,5225
"12","10_to_14",68.8,1187
"13","45_to_49",693.2,11883
"14","20_to_24",577.8,8681
"15","30_to_34",618.3,11552
"16","35_to_39",531.2,10133
"17","5_to_9",55.5,1033
"18","90+",3426.4,12028
"19","80_to_84",1127,9066
