"","age","rate","value"
"1","80_to_84",1063.7,8557
"2","75_to_79",593.7,6174
"3","55_to_59",527.7,10451
"4","30_to_34",520.4,9723
"5","60_to_64",453,7179
"6","35_to_39",448.3,8551
"7","0_to_4",29.3,470
"8","10_to_14",39.8,686
"9","45_to_49",611.3,10479
"10","25_to_29",605.1,10258
"11","85_to_89",1905.6,10079
"12","5_to_9",31,576
"13","50_to_54",614.6,11533
"14","90+",3242.9,11384
"15","20_to_24",448.5,6739
"16","15_to_19",122.3,2000
"17","65_to_69",293.5,4238
"18","70_to_74",331.7,4807
"19","40_to_44",474.2,8936
