"","age","rate","value"
"1","10_to_14",82.7,1499
"2","60_to_64",527.2,8051
"3","75_to_79",887.2,7991
"4","90+",3538.4,5882
"5","45_to_49",516.6,8784
"6","85_to_89",2305.3,8088
"7","15_to_19",187,3216
"8","55_to_59",487.1,9386
"9","5_to_9",74,1339
"10","35_to_39",419,7963
"11","30_to_34",446.3,8628
"12","0_to_4",76,1286
"13","40_to_44",424.8,7855
"14","50_to_54",519.5,9556
"15","25_to_29",458.4,8218
"16","65_to_69",490,6629
"17","20_to_24",386.1,6130
"18","70_to_74",543.3,7227
"19","80_to_84",1450.3,9216
