"","age","rate","value"
"1","30_to_34",5988.4,115764
"2","75_to_79",3367.3,30330
"3","80_to_84",4402.7,27977
"4","40_to_44",5349.2,98913
"5","65_to_69",3281,44385
"6","0_to_4",1658.6,28084
"7","85_to_89",6472.6,22709
"8","70_to_74",2818.4,37489
"9","90+",9509.5,15808
"10","25_to_29",6647.6,119173
"11","5_to_9",1847,33424
"12","20_to_24",7336.8,116487
"13","45_to_49",5880.7,99983
"14","15_to_19",5216.4,89693
"15","55_to_59",4776.2,92033
"16","60_to_64",4499.4,68717
"17","50_to_54",5590.8,102832
"18","10_to_14",3040.7,55112
"19","35_to_39",5597.9,106391
