"","age","rate","value"
"1","45_to_49",409.4,6960
"2","70_to_74",495.7,6594
"3","80_to_84",1363.6,8665
"4","85_to_89",2188.4,7678
"5","0_to_4",32.8,556
"6","10_to_14",38.5,697
"7","50_to_54",428,7873
"8","5_to_9",34.3,620
"9","20_to_24",193.8,3077
"10","55_to_59",409.6,7892
"11","75_to_79",830.9,7484
"12","40_to_44",313.2,5791
"13","25_to_29",293.9,5269
"14","30_to_34",300.7,5813
"15","15_to_19",69.9,1202
"16","65_to_69",426.1,5764
"17","60_to_64",453.4,6924
"18","90+",3362.7,5590
"19","35_to_39",289.1,5495
