date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2021-02-05,R,NA,estimate,0.8992812633651959,0.8993721039270419,0.023143012710313656,0.8614961785430566,0.8837256003867396,0.893618991383092,0.9048982886552588,0.9148709426919153,0.9373962474822545
2021-02-06,R,NA,estimate,0.922707662632354,0.9224546134215198,0.02384973404464694,0.8829039849078806,0.9063934909278497,0.9167032633569014,0.9287818315480991,0.9387757673284522,0.9612798860239317
2021-02-07,R,NA,estimate,0.9412586037375159,0.9414727040448925,0.024746638099930027,0.9012474952659899,0.9251172933765904,0.9344751498434309,0.9486279614628774,0.9574186491683498,0.981295645477775
2021-02-08,R,NA,estimate,0.9533842882323651,0.9533632388159604,0.025351485704435635,0.9118224548697758,0.9359679834127967,0.9464277232805796,0.9599699891100753,0.9701522226538022,0.994318963692749
2021-02-09,R,NA,estimate,0.9557545771711453,0.9557794552132954,0.02533969548457912,0.913844642534917,0.9388584920783279,0.9494339625642346,0.9616860998928337,0.9731174835342331,0.9971639550489488
2021-02-10,R,NA,estimate,0.947649580250012,0.9476451876377463,0.02468938371624871,0.9076314205827218,0.9306305961462435,0.9414331178952837,0.9543833266774182,0.9644162348836102,0.987599743287678
2021-02-11,R,NA,estimate,0.929289707925917,0.9294668110387075,0.023661618404493334,0.8909638569620676,0.9131172012680399,0.9230622962181693,0.9358103460286911,0.9459299103389134,0.9677673478432411
2021-02-12,R,NA,estimate,0.9026290907644083,0.9032799257130559,0.02264939259651663,0.8669489693828921,0.88789295074009,0.8968403093014761,0.9087220972995927,0.9189494141069368,0.9396727154726716
2021-02-13,R,NA,estimate,0.8713843411377005,0.8722465518972755,0.021969340290523862,0.8374725136787565,0.8571395532236775,0.8661939885216896,0.8774768337137412,0.886957244675399,0.9092870323354156
2021-02-14,R,NA,estimate,0.8394112667617025,0.8400513872218953,0.021716140801319405,0.8051162979961175,0.8252905722984607,0.8341705462877416,0.844923602516349,0.8540824973840135,0.8767957768739976
2021-02-15,R,NA,estimate,0.8100653290673632,0.8102981250995382,0.02177241259712799,0.7756876198596114,0.7955748631931225,0.8045594315918515,0.8157177474779812,0.8244718469726877,0.8471019483121979
2021-02-16,R,NA,estimate,0.7856717966733384,0.7860611671319678,0.0219312570220883,0.7507029641200733,0.7715816175955221,0.7799159074736726,0.7912137812902951,0.800344521248797,0.8216453428823438
2021-02-17,R,NA,estimate,0.7694151148266428,0.7696475031513291,0.022010024854952175,0.7333830137122047,0.7550545590477064,0.7637980156436365,0.7747018266921697,0.7843164749302223,0.8061113804621582
2021-02-18,R,NA,estimate,0.7621715444439459,0.7625306998153846,0.021901297552830004,0.726286173177563,0.7479208200508112,0.7566709526936516,0.7676196523785936,0.7768929018773184,0.7993619577690037
2021-02-19,R,NA,estimate,0.7647835061132087,0.7653729892896295,0.021585697976684883,0.730195947053156,0.7508103571255519,0.7596074984457308,0.7705628826388993,0.7793093635247795,0.8017462202344613
2021-02-20,R,NA,estimate,0.7780848596134701,0.7780563188168065,0.02114102257170815,0.743871901709999,0.7635614528324113,0.7721768680032444,0.7831599339003726,0.7917471148286661,0.8132971421453148
2021-02-21,R,NA,estimate,0.7990416412675185,0.799682031516374,0.020753256712619312,0.7658960011585817,0.7854185216908728,0.7936098027521767,0.8046499929961959,0.8132663741556622,0.834616452998953
2021-02-22,R,NA,estimate,0.8279365011582884,0.8285511993183079,0.020694645756843086,0.7947117071202898,0.8139790922435174,0.8226850000187633,0.8338396069636452,0.842702032994334,0.86297939204001894
