"","age","rate","value"
"1","55_to_59",425.8,8204
"2","35_to_39",309.8,5888
"3","45_to_49",428.8,7290
"4","5_to_9",40,724
"5","30_to_34",325.3,6288
"6","85_to_89",2228.9,7820
"7","10_to_14",46.2,838
"8","50_to_54",445.1,8187
"9","80_to_84",1393.2,8853
"10","40_to_44",330.6,6113
"11","90+",3418.7,5683
"12","70_to_74",507.8,6754
"13","0_to_4",38.2,646
"14","60_to_64",467.8,7144
"15","20_to_24",213.8,3394
"16","15_to_19",80.7,1388
"17","25_to_29",315.6,5658
"18","75_to_79",846.3,7623
"19","65_to_69",439.5,5946
