age,rate,value
0_to_4,1208.5,977
5_to_9,990,1105
10_to_14,1863.2,1669
15_to_19,5174.4,4559
20_to_24,7300.1,6065
25_to_29,5853.7,5623
30_to_34,5142.7,5231
35_to_39,5032.7,4866
40_to_44,4971.9,4649
45_to_49,5930.6,5094
50_to_54,5341.3,5453
55_to_59,4243.4,4803
60_to_64,3290.5,3256
65_to_69,1864.8,1745
70_to_74,1709.7,1584
75_to_79,2155.1,1450
80_to_84,3085.8,1545
85_to_89,4734.9,1538
90+,7774.3,1619
