age,date,cases,age_num,age_format,cases_tot,cases_norm
75_to_79,2020-11-13,23,75,75-79,933,0.02465166130760986
80_to_84,2020-11-13,23,80,80-84,933,0.02465166130760986
85_to_89,2020-11-13,20,85,85-89,933,0.021436227224008574
90+,2020-11-13,21,90,90+,933,0.022508038585209004
0_to_4,2020-11-14,25,0,0-4,1333,0.018754688672168042
5_to_9,2020-11-14,32,5,5-9,1333,0.024006001500375095
10_to_14,2020-11-14,34,10,10-14,1333,0.025506376594148537
15_to_19,2020-11-14,67,15,15-19,1333,0.05026256564141035
20_to_24,2020-11-14,119,20,20-24,1333,0.08927231807951988
25_to_29,2020-11-14,129,25,25-29,1333,0.0967741935483871
30_to_34,2020-11-14,123,30,30-34,1333,0.09227306826706677
35_to_39,2020-11-14,100,35,35-39,1333,0.07501875468867217
40_to_44,2020-11-14,96,40,40-44,1333,0.07201800450112528
45_to_49,2020-11-14,114,45,45-49,1333,0.08552138034508627
50_to_54,2020-11-14,124,50,50-54,1333,0.09302325581395349
55_to_59,2020-11-14,109,55,55-59,1333,0.08177044261065267
60_to_64,2020-11-14,80,60,60-64,1333,0.06001500375093773
