age,rate,value
0_to_4,2267.4,1833
5_to_9,1696.9,1894
10_to_14,3167.1,2837
15_to_19,7809.9,6881
20_to_24,12322.9,10238
25_to_29,10280.1,9875
30_to_34,9067.3,9223
35_to_39,8711.6,8423
40_to_44,8321.5,7781
45_to_49,9956.5,8552
50_to_54,9071.2,9261
55_to_59,7369.2,8341
60_to_64,5846.2,5785
65_to_69,3507.2,3282
70_to_74,3111.7,2883
75_to_79,3864.3,2600
80_to_84,5412.6,2710
85_to_89,8127.6,2640
90+,13358.9,2782
