"","age","rate","value"
"1","0_to_4",119.9,2031
"2","75_to_79",934.4,8416
"3","60_to_64",603.2,9212
"4","15_to_19",335.5,5768
"5","10_to_14",158.2,2868
"6","25_to_29",643.2,11531
"7","70_to_74",587.7,7817
"8","5_to_9",127.4,2305
"9","90+",3642.5,6055
"10","80_to_84",1502.5,9548
"11","85_to_89",2375.7,8335
"12","40_to_44",540.4,9993
"13","55_to_59",578.4,11145
"14","45_to_49",638.2,10851
"15","30_to_34",601.3,11624
"16","65_to_69",543.8,7356
"17","20_to_24",635.2,10085
"18","35_to_39",552.6,10503
"19","50_to_54",628.9,11568
