"","age","rate","value"
"1","45_to_49",742.4,12725
"2","0_to_4",75,1205
"3","75_to_79",647.1,6730
"4","5_to_9",69.5,1293
"5","40_to_44",598.3,11275
"6","20_to_24",702.7,10558
"7","25_to_29",825.7,13997
"8","65_to_69",350.6,5062
"9","90+",3491.9,12258
"10","55_to_59",618.2,12243
"11","50_to_54",732.6,13748
"12","80_to_84",1145.7,9217
"13","70_to_74",373.6,5414
"14","60_to_64",538.1,8526
"15","35_to_39",584.1,11142
"16","10_to_14",87.3,1507
"17","15_to_19",259.6,4244
"18","85_to_89",2047.9,10832
"19","30_to_34",686.5,12826
