"","age","rate","value"
"1","10_to_14",4069.6,73761
"2","45_to_49",7936.8,134942
"3","15_to_19",6540.1,112455
"4","50_to_54",7549.2,138852
"5","75_to_79",4299.4,38725
"6","0_to_4",2499.7,42326
"7","25_to_29",8928.5,160063
"8","90+",12253.8,20370
"9","20_to_24",9532.7,151353
"10","40_to_44",7369,136261
"11","5_to_9",2652.2,47995
"12","80_to_84",5524.2,35104
"13","55_to_59",6464.6,124569
"14","30_to_34",8297.7,160404
"15","70_to_74",3621.3,48169
"16","35_to_39",7819.7,148617
"17","85_to_89",8210.9,28808
"18","65_to_69",4333.7,58626
"19","60_to_64",6080.3,92861
