"","age","rate","value"
"1","70_to_74",827,11000
"2","55_to_59",1026,19771
"3","30_to_34",1177.9,22771
"4","60_to_64",1018.6,15557
"5","90+",4034.1,6706
"6","65_to_69",840.7,11373
"7","75_to_79",1177.4,10605
"8","85_to_89",2702,9480
"9","15_to_19",1561.3,26846
"10","45_to_49",1157.1,19673
"11","0_to_4",281.6,4768
"12","35_to_39",1067.2,20282
"13","25_to_29",1347.6,24158
"14","50_to_54",1158.4,21307
"15","80_to_84",1771.5,11257
"16","20_to_24",1934.9,30720
"17","5_to_9",255.5,4624
"18","10_to_14",414.7,7517
"19","40_to_44",996.1,18419
