"","age","rate","value"
"1","80_to_84",2060.3,16574
"2","75_to_79",1420.8,14776
"3","55_to_59",2267.8,44915
"4","65_to_69",1250.1,18050
"5","0_to_4",607.2,9754
"6","90+",5400.8,18959
"7","25_to_29",3484.5,59068
"8","60_to_64",1915.1,30347
"9","20_to_24",4436,66652
"10","5_to_9",521.1,9698
"11","35_to_39",2591,49421
"12","85_to_89",3295.3,17430
"13","45_to_49",2850.5,48860
"14","15_to_19",3389.6,55413
"15","40_to_44",2460.8,46375
"16","30_to_34",2932.1,54780
"17","50_to_54",2745.7,51524
"18","10_to_14",1016.7,17546
"19","70_to_74",1082.4,15686
