"","age","rate","value"
"1","50_to_54",155.2,2855
"2","65_to_69",208.8,2824
"3","20_to_24",31.7,504
"4","80_to_84",632.8,4021
"5","60_to_64",193.3,2952
"6","30_to_34",71,1373
"7","55_to_59",160.7,3096
"8","40_to_44",98.8,1826
"9","45_to_49",139.7,2376
"10","90+",1216.4,2022
"11","15_to_19",10.4,178
"12","10_to_14",5.6,102
"13","0_to_4",13.4,227
"14","85_to_89",910.6,3195
"15","5_to_9",4.3,78
"16","75_to_79",415.7,3744
"17","25_to_29",64.5,1157
"18","70_to_74",249.9,3324
"19","35_to_39",77.9,1481
