"","age","value","rate"
"1","0_to_4",3015,178.1
"2","25_to_29",15972,890.9
"3","70_to_74",8798,661.4
"4","60_to_64",11241,736
"5","55_to_59",14000,726.5
"6","30_to_34",15529,803.3
"7","65_to_69",8671,641
"8","45_to_49",13829,813.4
"9","40_to_44",12771,690.7
"10","20_to_24",17752,1118.1
"11","75_to_79",9055,1005.3
"12","90+",6226,3745.3
"13","80_to_84",10090,1587.8
"14","50_to_54",14764,802.7
"15","15_to_19",14525,844.7
"16","85_to_89",8684,2475.1
"17","5_to_9",3003,165.9
"18","35_to_39",13956,734.3
"19","10_to_14",4397,242.6
