"","age","rate","value"
"1","40_to_44",7364.6,136180
"2","10_to_14",4062.9,73638
"3","50_to_54",7546,138793
"4","20_to_24",9529.1,151295
"5","90+",12251.4,20366
"6","35_to_39",7815.2,148532
"7","0_to_4",2498.9,42312
"8","30_to_34",8293.8,160329
"9","45_to_49",7932.6,134870
"10","65_to_69",4332.9,58615
"11","5_to_9",2649.4,47944
"12","25_to_29",8925.5,160009
"13","55_to_59",6463,124537
"14","15_to_19",6534.5,112357
"15","75_to_79",4298.6,38718
"16","70_to_74",3620.7,48161
"17","60_to_64",6078.8,92838
"18","80_to_84",5523.3,35098
"19","85_to_89",8210.6,28807
