"","age","rate","value"
"1","75_to_79",551.8,5739
"2","20_to_24",389.4,5851
"3","10_to_14",29.6,511
"4","45_to_49",559.1,9583
"5","70_to_74",304.6,4414
"6","15_to_19",98.3,1607
"7","30_to_34",465.7,8700
"8","85_to_89",1753.2,9273
"9","80_to_84",981.8,7898
"10","50_to_54",568.2,10662
"11","40_to_44",430.6,8115
"12","25_to_29",540.4,9160
"13","0_to_4",22,354
"14","5_to_9",22.1,411
"15","35_to_39",402.7,7681
"16","90+",2970.6,10428
"17","60_to_64",418,6623
"18","65_to_69",269.3,3888
"19","55_to_59",487.5,9656
