age,value,rate
0_to_4,646,762.7
5_to_9,674,636.7
10_to_14,1070,1135.8
15_to_19,2692,2903.6
20_to_24,3643,4079.5
25_to_29,2972,2794.7
30_to_34,2763,2593.3
35_to_39,2471,2566.8
40_to_44,2351,2571.8
45_to_49,2651,3168.7
50_to_54,2729,2814
55_to_59,2741,2554.7
60_to_64,1896,2019.2
65_to_69,1284,1449.8
70_to_74,1212,1399
75_to_79,1212,2036.9
80_to_84,1103,2778.3
85_to_89,847,3958.7
90+,607,6263.5
