"","age","rate","value"
"1","70_to_74",1308.5,18963
"2","15_to_19",4034.6,65958
"3","35_to_39",3271.5,62400
"4","85_to_89",3913,20697
"5","25_to_29",4223.2,71590
"6","20_to_24",5186.4,77926
"7","75_to_79",1702.3,17704
"8","50_to_54",3360.1,63053
"9","40_to_44",3126.1,58912
"10","65_to_69",1509,21789
"11","5_to_9",772.8,14382
"12","10_to_14",1554.7,26830
"13","45_to_49",3562.4,61063
"14","80_to_84",2449.4,19704
"15","60_to_64",2336.8,37029
"16","0_to_4",800.7,12863
"17","30_to_34",3635.3,67917
"18","55_to_59",2751.1,54487
"19","90+",6465.9,22698
