"","age","rate","value"
"1","85_to_89",4471.4,15688
"2","80_to_84",3031.7,19265
"3","65_to_69",1899.2,25693
"4","75_to_79",2199.3,19809
"5","0_to_4",855.7,14488
"6","15_to_19",3330.9,57274
"7","70_to_74",1719.4,22870
"8","20_to_24",4210.8,66856
"9","10_to_14",1727.5,31310
"10","45_to_49",3106.8,52821
"11","35_to_39",2850,54166
"12","50_to_54",3028,55693
"13","30_to_34",3066.3,59275
"14","25_to_29",3405.2,61045
"15","55_to_59",2604.8,50192
"16","5_to_9",961.9,17406
"17","60_to_64",2493.6,38083
"18","90+",6514.3,10829
"19","40_to_44",2744.6,50751
