"","age","rate","value"
"1","50_to_54",3313.9,60953
"2","90+",6885.5,11446
"3","75_to_79",2326.6,20956
"4","10_to_14",2009.8,36427
"5","25_to_29",3770.5,67595
"6","40_to_44",3061.6,56613
"7","70_to_74",1832.6,24376
"8","85_to_89",4737.1,16620
"9","30_to_34",3403.2,65788
"10","5_to_9",1108.4,20057
"11","15_to_19",3622.5,62287
"12","0_to_4",961.6,16282
"13","45_to_49",3444.7,58566
"14","65_to_69",2033.4,27508
"15","80_to_84",3200.5,20338
"16","55_to_59",2832.6,54582
"17","60_to_64",2693.8,41140
"18","35_to_39",3169.6,60239
"19","20_to_24",4548.5,72217
