"","age","rate","value"
"1","25_to_29",490.4,8791
"2","55_to_59",499.8,9630
"3","60_to_64",537.8,8214
"4","45_to_49",535,9096
"5","10_to_14",90.2,1634
"6","0_to_4",82.6,1399
"7","50_to_54",533.6,9814
"8","20_to_24",428.2,6799
"9","85_to_89",2315.5,8124
"10","70_to_74",550.4,7321
"11","90+",3553.4,5907
"12","5_to_9",79.3,1435
"13","65_to_69",496.5,6717
"14","35_to_39",440.9,8380
"15","40_to_44",442.5,8183
"16","30_to_34",470.8,9102
"17","15_to_19",208.7,3589
"18","75_to_79",891.9,8033
"19","80_to_84",1458.8,9270
