"","age","rate","value"
"1","65_to_69",238.7,3446
"2","85_to_89",1523.5,8058
"3","5_to_9",13.1,243
"4","15_to_19",74.8,1223
"5","0_to_4",19.8,318
"6","80_to_84",868.8,6989
"7","45_to_49",489,8382
"8","25_to_29",461.1,7816
"9","30_to_34",400,7474
"10","60_to_64",366.5,5807
"11","55_to_59",421.7,8352
"12","70_to_74",272.3,3946
"13","20_to_24",311.5,4680
"14","75_to_79",489.3,5089
"15","35_to_39",346.5,6610
"16","10_to_14",19.1,330
"17","90+",2561,8990
"18","40_to_44",372.6,7022
"19","50_to_54",495.3,9294
