"","age","rate","value"
"1","10_to_14",3848.3,66411
"2","20_to_24",11873.4,178399
"3","0_to_4",2325.5,37358
"4","35_to_39",8608.5,164198
"5","45_to_49",8733.4,149699
"6","70_to_74",3032.6,43948
"7","75_to_79",3665.1,38116
"8","5_to_9",2190.8,40772
"9","65_to_69",3670.9,53005
"10","50_to_54",8242,154662
"11","60_to_64",5797.8,91872
"12","55_to_59",6769.5,134072
"13","85_to_89",7819.6,41360
"14","90+",13196.8,46326
"15","15_to_19",7774.6,127099
"16","40_to_44",8007.7,150908
"17","80_to_84",5005.5,40267
"18","25_to_29",10835.6,183679
"19","30_to_34",9564.3,178689
