"","age","rate","value"
"1","85_to_89",2103.3,11125
"2","90+",3596.8,12626
"3","25_to_29",967.2,16395
"4","30_to_34",796.9,14889
"5","65_to_69",383.6,5539
"6","50_to_54",823.5,15453
"7","60_to_64",594.2,9415
"8","20_to_24",895.6,13456
"9","40_to_44",687.6,12958
"10","45_to_49",839.9,14397
"11","35_to_39",684,13047
"12","75_to_79",675.8,7028
"13","15_to_19",368,6016
"14","55_to_59",686.9,13604
"15","10_to_14",131.2,2265
"16","5_to_9",103.1,1918
"17","80_to_84",1186.6,9546
"18","0_to_4",100.8,1619
"19","70_to_74",398.4,5773
