age,value,rate
0_to_4,246,304.3
5_to_9,223,199.8
10_to_14,308,343.8
15_to_19,1984,2251.8
20_to_24,2321,2793.7
25_to_29,1920,1998.8
30_to_34,1722,1692.9
35_to_39,1722,1781
40_to_44,1704,1822.4
45_to_49,1933,2250.4
50_to_54,2171,2126.5
55_to_59,1937,1711.3
60_to_64,1198,1210.7
65_to_69,623,665.8
70_to_74,556,600.1
75_to_79,606,900.7
80_to_84,691,1380.1
85_to_89,757,2330.5
90+,822,3947.2
