"","age","rate","value"
"1","30_to_34",271.4,5246
"2","15_to_19",57.5,989
"3","85_to_89",2096.3,7355
"4","65_to_69",405.8,5490
"5","75_to_79",797.5,7183
"6","0_to_4",27,458
"7","55_to_59",386.7,7452
"8","20_to_24",168.7,2678
"9","70_to_74",475.9,6330
"10","10_to_14",30.2,548
"11","90+",3222,5356
"12","40_to_44",288.4,5332
"13","45_to_49",381.8,6492
"14","5_to_9",28,507
"15","60_to_64",430.6,6576
"16","25_to_29",264.4,4740
"17","35_to_39",262.1,4982
"18","50_to_54",404,7430
"19","80_to_84",1301.4,8270
