"","age","rate","value"
"1","85_to_89",7882.9,27657
"2","50_to_54",7035.7,129407
"3","70_to_74",3453.7,45940
"4","90+",11743.7,19522
"5","0_to_4",2248.8,38077
"6","45_to_49",7376.1,125409
"7","75_to_79",4119.9,37108
"8","30_to_34",7651.4,147910
"9","80_to_84",5303.3,33700
"10","25_to_29",8301.3,148819
"11","10_to_14",3604.6,65333
"12","55_to_59",6049.1,116561
"13","65_to_69",4100.2,55468
"14","20_to_24",8924.1,141689
"15","15_to_19",6056,104130
"16","5_to_9",2344.1,42419
"17","35_to_39",7169.5,136260
"18","40_to_44",6786.7,125493
"19","60_to_64",5704,87114
