age,value,rate
0_to_4,186,230.1
5_to_9,170,152.3
10_to_14,241,269
15_to_19,1467,1665
20_to_24,1896,2282.1
25_to_29,1695,1764.5
30_to_34,1511,1485.5
35_to_39,1509,1560.7
40_to_44,1484,1587.1
45_to_49,1690,1967.5
50_to_54,1942,1902.2
55_to_59,1751,1547
60_to_64,1070,1081.3
65_to_69,548,585.6
70_to_74,489,527.8
75_to_79,554,823.4
80_to_84,635,1268.3
85_to_89,702,2161.2
90+,767,3683.1
