age,value,rate
0_to_4,266,329
5_to_9,242,216.8
10_to_14,331,369.5
15_to_19,2110,2394.8
20_to_24,2470,2973
25_to_29,2042,2125.8
30_to_34,1827,1796.2
35_to_39,1808,1870
40_to_44,1784,1907.9
45_to_49,2030,2363.4
50_to_54,2278,2231.3
55_to_59,2030,1793.5
60_to_64,1257,1270.3
65_to_69,649,693.5
70_to_74,579,624.9
75_to_79,637,946.7
80_to_84,719,1436
85_to_89,781,2404.4
90+,847,4067.2
