"","age","rate","value"
"1","5_to_9",26.9,501
"2","65_to_69",285.1,4117
"3","80_to_84",1038.1,8351
"4","85_to_89",1858.5,9830
"5","20_to_24",424.3,6375
"6","40_to_44",455.2,8578
"7","75_to_79",579.1,6023
"8","45_to_49",588.2,10083
"9","35_to_39",428.5,8174
"10","90+",3181.7,11169
"11","30_to_34",499.1,9324
"12","60_to_64",440.4,6978
"13","50_to_54",596.8,11200
"14","0_to_4",25.3,406
"15","70_to_74",321.4,4657
"16","15_to_19",111.5,1823
"17","25_to_29",579.3,9820
"18","10_to_14",34.7,598
"19","55_to_59",512.5,10151
