"","age","rate","value"
"1","45_to_49",274,4696
"2","50_to_54",276.7,5192
"3","10_to_14",7.9,137
"4","5_to_9",6,112
"5","15_to_19",26.5,433
"6","85_to_89",865.7,4579
"7","0_to_4",14.2,228
"8","70_to_74",191.8,2779
"9","25_to_29",246.5,4178
"10","30_to_34",220.2,4114
"11","20_to_24",135.5,2036
"12","35_to_39",186.5,3558
"13","80_to_84",538.7,4334
"14","65_to_69",159.8,2308
"15","40_to_44",205.2,3867
"16","75_to_79",329.3,3425
"17","90+",1264.5,4439
"18","55_to_59",236.1,4676
"19","60_to_64",214.9,3406
