"","age","rate","value"
"1","45_to_49",251.3,4308
"2","25_to_29",223.2,3783
"3","60_to_64",196.9,3120
"4","15_to_19",24.2,396
"5","20_to_24",119.9,1802
"6","80_to_84",506.3,4073
"7","70_to_74",182.4,2644
"8","85_to_89",794.1,4200
"9","90+",1143.2,4013
"10","55_to_59",217.3,4303
"11","35_to_39",171.3,3267
"12","5_to_9",5.5,102
"13","50_to_54",253.3,4754
"14","10_to_14",7.3,126
"15","65_to_69",150.6,2174
"16","75_to_79",313,3255
"17","40_to_44",186,3506
"18","0_to_4",13.8,221
"19","30_to_34",198.7,3712
